Model Year,Mfr Name,Division,Carline,Eng Displ,# Cyl,City FE (Guide) - Conventional Fuel,Hwy FE (Guide) - Conventional Fuel,Comb FE (Guide) - Conventional Fuel,Fuel Usage Desc - Conventional Fuel,Annual Fuel1 Cost - Conventional Fuel,EPA Calculated Annual Fuel Cost - Conventional Fuel -----  Annual fuel cost error. Please revise Verify.,Carline Class Desc
2015,Volkswagen Group of,Volkswagen,CC,2,4,21,32,25,Gasoline (Premium Unleaded Recommended),2300,2300,Compact Cars
2015,Volkswagen Group of,Volkswagen,CC 4Motion,3.6,6,17,25,20,Gasoline (Premium Unleaded Recommended),2850,2850,Compact Cars
2015,Volkswagen Group of,Volkswagen,Golf,1.8,4,25,36,29,Gasoline (Regular Unleaded Recommended),1800,1800,Compact Cars
2015,Volkswagen Group of,Volkswagen,Golf,1.8,4,25,37,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Volkswagen Group of,Volkswagen,Golf R,2,4,23,30,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,Volkswagen Group of,Volkswagen,GTI,2,4,25,33,28,Gasoline (Premium Unleaded Recommended),2050,2050,Compact Cars
2015,Volkswagen Group of,Volkswagen,GTI,2,4,25,34,28,Gasoline (Premium Unleaded Recommended),2050,2050,Compact Cars
2015,Volkswagen Group of,Volkswagen,Jetta,1.8,4,25,37,30,Gasoline (Regular Unleaded Recommended),1750,1750,Compact Cars
2015,Volkswagen Group of,Volkswagen,Jetta,1.8,4,25,37,29,Gasoline (Regular Unleaded Recommended),1800,1800,Compact Cars
2015,Volkswagen Group of,Volkswagen,Jetta,2,4,24,32,27,Gasoline (Premium Unleaded Recommended),2100,2100,Compact Cars
2015,Volkswagen Group of,Volkswagen,Jetta,2,4,23,34,26,Gasoline (Regular Unleaded Recommended),2000,2000,Compact Cars
2015,Volkswagen Group of,Volkswagen,Jetta,2,4,25,34,28,Gasoline (Regular Unleaded Recommended),1900,1900,Compact Cars
2015,Volkswagen Group of,Volkswagen,Jetta,2,4,23,33,26,Gasoline (Premium Unleaded Recommended),2200,2200,Compact Cars
2015,Volkswagen Group of,Volkswagen,Jetta Hybrid,1.4,4,42,48,45,Gasoline (Premium Unleaded Recommended),1250,1250,Compact Cars
2015,Volvo,"Volvo Cars of North America, LLC",S60 AWD,2.5,5,20,29,23,Gasoline (Regular Unleaded Recommended),2300,2300,Compact Cars
2015,Volvo,"Volvo Cars of North America, LLC",S60 AWD,3,6,19,28,22,Gasoline (Regular Unleaded Recommended),2400,2400,Compact Cars
2015,Volvo,"Volvo Cars of North America, LLC",S60 FWD,2,4,25,37,29,Gasoline (Regular Unleaded Recommended),1800,1800,Compact Cars
2015,Volvo,"Volvo Cars of North America, LLC",S60 FWD,2,4,24,35,28,Gasoline (Premium Unleaded Required),2050,2050,Compact Cars
2015,Volvo,"Volvo Cars of North America, LLC",S60 PoleStar AWD,3,6,18,27,21,Gasoline (Regular Unleaded Recommended),2500,2500,Compact Cars
